id_cafes;nombre;pais;variedad;presentacion;notas_sabor;altitud
1;Colibrí del Viento 1;Colombia;Pacamara;molido;terroso|especias|chocolate;1300–1600 msnm
2;Alma Verde 2;Ecuador;Typica;cápsula;cítrico|floral|miel;1000–1400 msnm
3;Perla del Alba 3;El Salvador;Caturra;grano;caramelo|nuez|chocolate;1400–1800 msnm
4;Colibrí Nevada 4;México;Villalobos;cápsula;terroso|especias|chocolate;1700–2100 msnm
5;Sol del Cacao 5;Nicaragua;Typica;grano;terroso|especias|chocolate;1500–1900 msnm
6;Puerta del Horizonte 6;Perú;Mundo Novo;cápsula;panela|frutal|cacao;1500–1900 msnm
7;Cumbre del Valle Sagrado 7;Guatemala;Typica;grano;caramelo|nuez|chocolate;900–1200 msnm
8;Cumbre del Río 8;México;Castillo;cápsula;frutal|miel|cítrico;1500–1900 msnm
9;Puerta del Horizonte Azul 9;El Salvador;Villalobos;molido;cítrico|floral|miel;1400–1800 msnm
10;Jaguar Real 10;Guatemala;Caturra;grano;chocolate|nuez|vainilla;1300–1600 msnm
11;Puerta del Viento 11;Colombia;Catuai;grano;frutal|miel|cítrico;1200–1500 msnm
12;Cosecha Dorada 12;México;Caturra;grano;cítrico|floral|miel;1200–1500 msnm
13;Aurora del Norte 13;El Salvador;Maragogipe;cápsula;frutal|chocolate|floral;1700–2100 msnm
14;Mirador del Encanto Andino 14;Perú;Villalobos;cápsula;terroso|especias|chocolate;1500–1900 msnm
15;Montaña del Sur 15;Nicaragua;Caturra;cápsula;frutal|chocolate|floral;1700–2100 msnm
16;Sol Mística 16;Costa Rica;Mundo Novo;cápsula;terroso|especias|chocolate;1000–1400 msnm
17;Travesía del Sur 17;Bolivia;Bourbon;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
18;Mística Suprema 18;Ecuador;Maragogipe;cápsula;frutal|caramelo|vino tinto;1400–1800 msnm
19;Aroma del Volcán 19;Ecuador;Typica;grano;frutal|caramelo|vino tinto;900–1200 msnm
20;Brisa del Mar 20;Costa Rica;Maragogipe;grano;frutal|chocolate|floral;1500–1900 msnm
21;Valle del Cóndor 21;Costa Rica;Typica;cápsula;terroso|especias|chocolate;900–1200 msnm
22;Estrella del Corazón 22;Bolivia;Castillo;molido;caramelo|nuez|chocolate;900–1200 msnm
23;Travesía del Encanto Andino 23;Ecuador;Mundo Novo;cápsula;frutal|chocolate|floral;1400–1800 msnm
24;Selva del Horizonte 24;Bolivia;Geisha;grano;frutal|chocolate|floral;1400–1800 msnm
25;Cumbre del Horizonte Dorado 25;México;Catuai;molido;caramelo|nuez|chocolate;1300–1600 msnm
26;Cedro del Jaguar 26;Colombia;Geisha;cápsula;frutal|caramelo|vino tinto;1500–1900 msnm
27;Mirador Verde 27;Costa Rica;Maragogipe;cápsula;floral|jazmín|cítrico;900–1200 msnm
28;Estrella del Bosque Alto 28;Ecuador;Maragogipe;cápsula;frutal|miel|cítrico;1600–2000 msnm
29;Cedro del Bosque Alto 29;Honduras;Maragogipe;molido;floral|jazmín|cítrico;900–1200 msnm
