cafeteria_id;hora_apertura;hora_cierre;dias_abre
1;08:00;12:00;Lunes-Sábado
2;10:00;12:00;Lunes-Sábado
3;14:00;15:00;Lunes-Viernes
4;16:00;17:00;Lunes-Viernes
5;22:00;23:00;Lunes-Domingo
6;22:00;23:00;Lunes-Viernes
7;05:00;06:00;Lunes-Viernes
8;20:00;22:00;Lunes-Domingo
9;23:00;24:00;Lunes-Sábado
10;09:00;11:00;Lunes-Sábado
11;08:00;10:00;Lunes-Viernes
12;13:00;15:00;Lunes-Viernes
13;06:00;07:00;Lunes-Viernes
14;18:00;24:00;Lunes-Viernes
15;12:00;15:00;Lunes-Sábado
16;16:00;17:00;Lunes-Viernes
17;06:00;07:00;Lunes-Viernes
18;10:00;11:00;Lunes-Domingo
19;12:00;13:00;Lunes-Viernes
20;15:00;17:00;Lunes-Viernes
21;21:00;23:00;Lunes-Sábado
22;07:00;12:00;Lunes-Domingo
23;15:00;17:00;Lunes-Sábado
24;18:00;23:00;Lunes-Viernes
25;17:00;23:00;Lunes-Sábado
26;11:00;12:00;Lunes-Sábado
27;11:00;12:00;Lunes-Domingo
28;12:00;18:00;Lunes-Viernes
29;01:00;03:00;Lunes-Viernes
30;23:00;24:00;Lunes-Sábado
31;12:00;16:00;Lunes-Viernes
32;00:00;24:00;Lunes-Domingo
33;14:00;15:00;Lunes-Viernes
34;15:00;17:00;Lunes-Viernes
35;14:00;15:00;Lunes-Domingo
36;06:00;07:00;Lunes-Sábado
37;11:00;12:00;Lunes-Viernes
38;05:00;06:00;Lunes-Sábado
39;05:00;07:00;Lunes-Domingo
40;04:00;05:00;Lunes-Viernes
41;10:00;13:00;Lunes-Domingo
42;14:00;19:00;Lunes-Sábado
43;14:00;17:00;Lunes-Viernes
44;16:00;17:00;Lunes-Domingo
45;22:00;24:00;Lunes-Sábado
46;15:00;17:00;Lunes-Viernes
47;01:00;05:00;Lunes-Domingo
48;02:00;05:00;Lunes-Viernes
49;14:00;15:00;Lunes-Domingo
50;22:00;23:00;Lunes-Sábado
51;15:00;20:00;Lunes-Viernes
52;00:00;01:00;Lunes-Sábado
53;14:00;16:00;Lunes-Viernes
54;12:00;13:00;Lunes-Sábado
55;07:00;13:00;Lunes-Viernes
56;17:00;21:00;Lunes-Sábado
57;12:00;14:00;Lunes-Viernes
58;12:00;15:00;Lunes-Viernes
59;11:00;12:00;Lunes-Viernes
60;15:00;16:00;Lunes-Viernes
61;10:00;11:00;Lunes-Domingo
62;00:00;24:00;Lunes-Sábado
63;08:00;10:00;Lunes-Viernes
64;00:00;01:00;Lunes-Domingo
65;10:00;12:00;Lunes-Domingo
66;11:00;12:00;Lunes-Viernes
67;14:00;16:00;Lunes-Domingo
68;11:00;12:00;Lunes-Domingo
69;03:00;06:00;Lunes-Sábado
70;08:00;09:00;Lunes-Domingo
71;08:00;13:00;Lunes-Sábado
72;08:00;12:00;Lunes-Sábado
73;17:00;19:00;Lunes-Viernes
