cafeteria_id;country;name;latitude;longitude
1;Peru;Cafe Punchay;-135146702;-719764886
2;Peru;La Cafeteria del Monasterio;-163946231;-715366378
3;Peru;CocaShop2;-135111872;-719790563
4;Peru;Dawn on the Amazon Cafe;-37492891;-732425576
5;Peru;Starbucks;-120977657;-770483890
6;Peru;Starbucks;-120940594;-770248649
7;Peru;San Antonio;-121109250;-770429280
8;Peru;Starbucks;-121209026;-770303881
9;Peru;Bogotá;-135146524;-719739671
10;Peru;Starbucks;-120929430;-770473430
11;Peru;Cafe cafe;-121205272;-770303335
12;Peru;Starbucks;-121018050;-770162673
13;Peru;Starbucks;-121308397;-769824791
14;Peru;Hospedaje Casa de Reposo El Boqueron;-80748618;-791182024
15;Peru;Dulce Nelly;-80823313;-791207607
16;Peru;Chocolate Café;-80796557;-791212566
17;Peru;Panadería Argolini;-80788997;-791184269
18;Peru;Starbucks;-121495893;-770217489
19;Peru;Kentikafé;-67249099;-777977476
20;Peru;Cafe La Terraza;-90479796;-778096741
21;Peru;Café de Rat;-90488774;-778096073
22;Peru;Starbucks;-163987068;-715358295
23;Peru;La Casona Café Restaurant;-120550889;-770319123
24;Peru;Starbucks;-120905242;-769501515
25;Peru;Heladeria Ica;-120310375;-770895469
26;Peru;Heladeria Ugo's Factory;-120943707;-770717824
27;Peru;Starbucks;-121070457;-770402932
28;Peru;California Café;-95309479;-775297601
29;Peru;La Terminal - Cafeteria;-107553053;-777604558
30;Peru;Mary Café;-107546045;-777609640
31;Peru;Dulcemania;-83840729;-745294280
32;Peru;Casa Gourmet;-120958956;-770351474
33;Peru;Churros San Judas;-120461377;-770286624
34;Peru;Dufrapé;-135257064;-719486454
35;Peru;Coffee Time;-119943280;-770610836
36;Peru;Starbucks;-120787549;-770876466
37;Peru;Starbucks;-120864562;-769762817
38;Peru;Altomayo;-120853387;-769759370
39;Peru;Mikel Coffee SAC;-120943275;-770779614
40;Peru;Starbucks;-120957133;-769893671
41;Peru;D`Paladi;-135278754;-719458710
42;Peru;Dulce Leonardo;-135280560;-719458931
43;Peru;La Baguette;-120762207;-770830786
44;Peru;Starbucks;-163903836;-715462831
45;Peru;El Pan de la Chola Cafeteria;-121123294;-770464889
46;Peru;Starbucks;-140750572;-757393061
47;Peru;Mi Dulce Secreto;-93504800;-771728509
48;Peru;Cafe Van Gogh;-71532563;-785212705
49;Peru;Terra Mia;-62294704;-778736390
50;Peru;la maison du pain;-64861134;-763595720
51;Peru;Cafe Terminal de Buses;-131344268;-742307934
52;Peru;Cafe del Terminal;-131534636;-742061315
53;Peru;Bet-El Café;-60347519;-769730595
54;Peru;Aromas del Cafe;-120820109;-770304929
55;Peru;Aroma Café;-60357877;-769754813
56;Peru;Qosqo Maki Panaderia;-135187970;-719738596
57;Peru;Cocoliso Cafe;-135159441;-719765688
58;Peru;La Casa del Corregidor;-158405085;-700288428
59;Peru;Cafe de La Estación;-121316739;-769820100
60;Peru;Starbucks;-120826355;-769697469
61;Peru;Apu Organic Nativo;-134208738;-718492774
62;Peru;Cafe 900;-67732287;-798360227
63;Peru;Starbucks;-120835506;-770517054
64;Peru;Ballabio Cafe;-121181909;-770275507
65;Peru;Fuente de soda Sandra;-131613657;-742265242
66;Peru;Charly;-131595836;-742268903
67;Peru;La Escencia;-135198440;-719742646
68;Peru;Barista Café;-120749507;-770921797
69;Peru;Altomayo;-83844069;-745737784
70;Peru;Starbucks;-71544668;-785059092
71;Peru;Cafezinho Café;-37481921;-732434150
72;Peru;Breaking Bar;-158407406;-700272910
73;Peru;Starbucks;-120992105;-769706451
74;Peru;Tortas Gaby;-121388799;-769990789
75;Peru;Mediterraneo;-80817445;-791211871
76;Peru;Manco Capac;-163845401;-715425074
77;Peru;Pastipan Benavides;-121276997;-769880819
78;Peru;Altomayo;-163445720;-715674994
