cafeteria_id;pet_friendly;tipo_musica;iluminacion;enchufes;wifi;terraza;estilo_decorativo
1;no;alegre;tenue;sí;no;sí;minimalista
2;no;calmada;cálida;sí;no;no;rústico
3;sí;sin música;cálida;sí;no;no;vintage
4;no;alegre;cálida;no;no;sí;industrial
5;sí;sin música;brillante;sí;no;no;artístico
6;sí;sin música;tenue;no;no;no;rústico
7;no;sin música;cálida;no;sí;no;artístico
8;no;alegre;tenue;no;no;sí;minimalista
9;sí;alegre;cálida;sí;no;no;rústico
10;sí;alegre;brillante;sí;no;no;vintage
11;no;calmada;cálida;sí;sí;no;minimalista
12;sí;calmada;brillante;sí;sí;no;industrial
13;no;alegre;brillante;sí;no;sí;rústico
14;sí;calmada;tenue;no;sí;sí;vintage
15;no;alegre;tenue;sí;no;no;vintage
16;sí;sin música;brillante;sí;no;sí;rústico
17;sí;calmada;brillante;no;no;no;vintage
18;sí;calmada;cálida;sí;sí;sí;artístico
19;sí;alegre;brillante;no;sí;sí;rústico
20;sí;calmada;tenue;sí;no;sí;artístico
21;sí;calmada;tenue;sí;no;sí;moderno
22;sí;alegre;tenue;sí;no;sí;rústico
23;no;sin música;brillante;sí;no;no;rústico
24;no;alegre;tenue;no;no;sí;rústico
25;no;sin música;cálida;no;sí;sí;vintage
26;no;alegre;brillante;sí;no;sí;vintage
27;no;calmada;tenue;no;sí;sí;rústico
28;sí;alegre;tenue;sí;sí;sí;vintage
29;sí;sin música;brillante;no;no;no;industrial
30;no;alegre;tenue;sí;no;no;vintage
31;sí;alegre;brillante;sí;sí;no;rústico
32;no;alegre;brillante;sí;no;sí;moderno
33;sí;alegre;tenue;sí;no;sí;industrial
34;sí;calmada;cálida;no;no;no;rústico
35;sí;alegre;brillante;sí;sí;sí;minimalista
36;sí;sin música;brillante;no;sí;no;moderno
37;sí;alegre;tenue;no;no;no;vintage
38;no;alegre;cálida;sí;sí;sí;rústico
39;no;alegre;tenue;no;no;no;rústico
40;no;sin música;brillante;no;sí;sí;moderno
41;no;calmada;tenue;no;no;sí;artístico
42;sí;calmada;cálida;sí;sí;no;industrial
43;sí;sin música;tenue;no;sí;sí;vintage
44;no;calmada;brillante;sí;sí;no;industrial
45;no;sin música;cálida;sí;no;no;artístico
46;sí;alegre;cálida;sí;sí;sí;rústico
47;sí;sin música;brillante;sí;sí;no;vintage
48;sí;sin música;tenue;no;sí;sí;artístico
49;sí;calmada;brillante;sí;sí;no;vintage
50;no;calmada;brillante;sí;sí;sí;minimalista
51;no;calmada;brillante;sí;no;no;moderno
52;sí;alegre;tenue;sí;no;sí;artístico
53;sí;sin música;tenue;sí;no;sí;rústico
54;sí;alegre;cálida;no;no;no;industrial
55;sí;sin música;tenue;sí;no;no;minimalista
56;no;calmada;brillante;sí;sí;no;minimalista
57;no;calmada;brillante;no;no;sí;rústico
58;no;alegre;brillante;sí;sí;sí;vintage
59;no;sin música;tenue;sí;no;no;artístico
60;no;alegre;tenue;sí;sí;sí;minimalista
61;no;alegre;cálida;sí;no;sí;artístico
62;sí;alegre;cálida;sí;sí;no;industrial
63;sí;sin música;cálida;sí;sí;sí;minimalista
64;no;calmada;cálida;sí;no;no;rústico
65;no;alegre;brillante;no;sí;sí;minimalista
66;sí;alegre;cálida;sí;sí;no;moderno
67;no;sin música;tenue;sí;no;no;moderno
68;sí;calmada;cálida;sí;no;no;artístico
69;no;calmada;cálida;sí;sí;sí;moderno
70;sí;alegre;brillante;no;sí;no;rústico
71;no;sin música;tenue;sí;no;sí;artístico
72;sí;calmada;cálida;sí;sí;sí;industrial
73;no;calmada;tenue;no;sí;no;vintage
74;no;calmada;tenue;no;no;no;minimalista
75;sí;calmada;brillante;no;sí;sí;artístico
76;sí;alegre;cálida;no;no;sí;industrial
77;sí;alegre;cálida;no;no;no;artístico
78;sí;calmada;brillante;no;no;no;artístico
79;no;alegre;brillante;no;sí;no;vintage
80;no;calmada;cálida;sí;sí;no;industrial
81;sí;sin música;tenue;no;no;no;minimalista
82;sí;sin música;tenue;no;sí;no;moderno
83;no;calmada;brillante;no;no;sí;vintage
84;no;calmada;tenue;sí;no;sí;minimalista
85;sí;calmada;cálida;no;sí;sí;industrial
86;no;alegre;cálida;no;no;no;industrial
87;sí;alegre;cálida;no;no;sí;artístico
88;sí;sin música;cálida;sí;no;sí;industrial
89;no;alegre;brillante;no;no;no;industrial
90;no;sin música;brillante;no;no;no;rústico
91;sí;sin música;cálida;no;no;no;artístico
92;no;calmada;brillante;sí;sí;no;vintage
