id_cafes_bebidas;cafeteria_id;bebida_id;precio;categoria
1;1;50;7,1;barato
2;1;15;5,8;barato
3;1;181;5,2;barato
4;1;88;6,1;barato
5;1;106;7,9;barato
6;2;6;15,2;medio
7;2;203;18,2;medio
8;2;216;12,8;medio
9;2;81;12,5;medio
10;2;56;14,5;medio
11;3;29;6,1;barato
12;3;42;8,4;barato
13;3;148;7,6;barato
14;3;198;6,9;barato
15;3;57;5,7;barato
16;4;223;5,2;barato
17;4;97;8,7;barato
18;4;81;9,6;barato
19;4;94;6,2;barato
20;4;72;7,8;barato
21;5;208;20;caro
22;5;188;29,5;caro
23;5;92;29,2;caro
24;5;153;26;caro
25;5;194;28,8;caro
26;6;129;6,1;barato
27;6;238;5,1;barato
28;6;97;9,2;barato
29;6;206;8,7;barato
30;6;124;5,3;barato
31;7;126;7,6;barato
32;7;42;7,5;barato
33;7;11;7,6;barato
34;7;188;5,6;barato
35;7;107;7,6;barato
36;8;165;9,1;barato
37;8;117;7,9;barato
38;8;193;5,3;barato
39;8;200;5,3;barato
40;8;197;7,8;barato
41;9;43;9,3;barato
42;9;56;8,9;barato
43;9;156;8,9;barato
44;9;58;5;barato
45;9;181;5,2;barato
46;10;109;28,8;caro
47;10;137;28,9;caro
48;10;159;29,6;caro
49;10;191;22,6;caro
50;10;227;22,4;caro
51;11;120;25,2;caro
52;11;89;20,6;caro
53;11;161;24,3;caro
54;11;91;24,8;caro
55;11;234;24;caro
56;12;62;22;caro
57;12;135;26,7;caro
58;12;79;29;caro
59;12;162;29,5;caro
60;12;67;27,7;caro
61;13;124;23,3;caro
62;13;8;24,9;caro
63;13;29;23,1;caro
64;13;77;24,7;caro
65;13;27;24,5;caro
66;14;171;21,5;caro
67;14;14;20,4;caro
68;14;135;23,7;caro
69;14;208;22,7;caro
70;14;233;24;caro
71;15;203;6;barato
72;15;214;9,1;barato
73;15;43;8,9;barato
74;15;36;7,6;barato
75;15;67;7,4;barato
76;16;212;7,3;barato
77;16;206;9,8;barato
78;16;172;7,7;barato
79;16;49;5,4;barato
80;16;238;8,5;barato
81;17;181;5,5;barato
82;17;103;8,2;barato
83;17;207;5,4;barato
84;17;60;8,2;barato
85;17;73;7,7;barato
86;18;154;24,7;caro
87;18;179;29,7;caro
88;18;150;20,4;caro
89;18;84;22,8;caro
90;18;176;25,1;caro
91;19;217;14,5;medio
92;19;65;19,1;medio
93;19;7;12,4;medio
94;19;125;11,4;medio
95;19;58;19;medio
96;20;218;13,5;medio
97;20;110;19,4;medio
98;20;25;11,1;medio
99;20;189;18,3;medio
100;20;157;13,6;medio
101;21;103;20,9;caro
102;21;157;22,2;caro
103;21;80;21,7;caro
104;21;119;29,1;caro
105;21;197;25,6;caro
106;22;40;15,2;medio
107;22;77;12,7;medio
108;22;48;17,5;medio
109;22;136;19;medio
110;22;75;14,4;medio
111;23;125;18,6;medio
112;23;12;17,5;medio
113;23;50;13,9;medio
114;23;177;16,5;medio
115;23;157;17,7;medio
116;24;142;8,4;barato
117;24;121;6,6;barato
118;24;212;9,9;barato
119;24;160;9,1;barato
120;24;20;5,7;barato
121;25;108;14,9;medio
122;25;42;12,9;medio
123;25;176;14,1;medio
124;25;228;17,1;medio
125;25;229;11,1;medio
126;26;212;28,6;caro
127;26;196;23,5;caro
128;26;86;27,7;caro
129;26;158;24;caro
130;26;211;24,1;caro
131;27;204;19,9;medio
132;27;237;14,7;medio
133;27;145;15,7;medio
134;27;77;15,1;medio
135;27;31;12,9;medio
136;28;151;18,6;medio
137;28;208;15,3;medio
138;28;48;15,6;medio
139;28;42;13,8;medio
140;28;120;13,9;medio
141;29;40;9;barato
142;29;98;7,8;barato
143;29;67;7,2;barato
144;29;83;9,3;barato
145;29;35;8,6;barato
146;30;173;8,7;barato
147;30;48;5,1;barato
148;30;138;8,5;barato
149;30;100;9,9;barato
150;30;44;9,9;barato
151;31;215;18,7;medio
152;31;162;12;medio
153;31;194;13,1;medio
154;31;202;11,3;medio
155;31;210;17,1;medio
156;32;36;17;medio
157;32;192;18,7;medio
158;32;169;11,6;medio
159;32;155;15,8;medio
160;32;91;14,5;medio
161;33;62;6,1;barato
162;33;74;8,5;barato
163;33;98;8,6;barato
164;33;114;5,5;barato
165;33;22;8;barato
166;34;159;8,5;barato
167;34;123;7,8;barato
168;34;182;8,9;barato
169;34;177;8,4;barato
170;34;74;6,1;barato
171;35;198;24,4;caro
172;35;112;27,7;caro
173;35;34;21,8;caro
174;35;154;26;caro
175;35;219;20,2;caro
176;36;144;21,6;caro
177;36;82;25,8;caro
178;36;4;25,1;caro
179;36;150;29,3;caro
180;36;58;27,3;caro
181;37;221;15,5;medio
182;37;89;14,8;medio
183;37;47;13,7;medio
184;37;237;18,9;medio
185;37;120;14;medio
186;38;5;6,2;barato
187;38;194;6;barato
188;38;190;6,9;barato
189;38;177;8,6;barato
190;38;11;7,5;barato
191;39;159;20;medio
192;39;116;13,1;medio
193;39;17;16,9;medio
194;39;89;13,9;medio
195;39;105;12,7;medio
196;40;64;15;medio
197;40;111;19,8;medio
198;40;128;17,1;medio
199;40;44;16,1;medio
200;40;124;11,4;medio
201;41;128;28,6;caro
202;41;106;26,6;caro
203;41;20;21,3;caro
204;41;135;27,7;caro
205;41;235;28,2;caro
206;42;76;20,9;caro
207;42;105;26,3;caro
208;42;113;21,9;caro
209;42;176;29;caro
210;42;127;23,1;caro
211;43;106;20,9;caro
212;43;217;23,2;caro
213;43;162;22,4;caro
214;43;24;20,5;caro
215;43;193;25,6;caro
216;44;83;5,9;barato
217;44;26;5,5;barato
218;44;115;6,2;barato
219;44;79;7,7;barato
220;44;194;8,5;barato
221;45;60;7,3;barato
222;45;79;9;barato
223;45;90;9,9;barato
224;45;122;5,9;barato
225;45;3;5,8;barato
226;46;15;9,2;barato
227;46;7;5,5;barato
228;46;183;9;barato
229;46;123;8,8;barato
230;46;163;7,6;barato
231;47;9;8,1;barato
232;47;158;7;barato
233;47;78;7,8;barato
234;47;76;9,6;barato
235;47;30;10;barato
236;48;49;26,3;caro
237;48;178;24,2;caro
238;48;70;20,9;caro
239;48;75;26,7;caro
240;48;155;28,5;caro
241;49;84;14;medio
242;49;234;11,7;medio
243;49;193;15,2;medio
244;49;237;18,4;medio
245;49;3;17,2;medio
246;50;28;22,5;caro
247;50;31;21,5;caro
248;50;47;29,1;caro
249;50;94;27,2;caro
250;50;55;27;caro
251;51;221;7,5;barato
252;51;50;9,2;barato
253;51;119;5,7;barato
254;51;23;8;barato
255;51;185;8,1;barato
256;52;122;16,1;medio
257;52;147;13,1;medio
258;52;35;17,2;medio
