id_cafeterias_productos;cafeteria_id;producto_id;categoria
1;1;64;caro
2;1;17;caro
3;1;30;caro
4;1;104;caro
5;1;314;caro
6;2;130;caro
7;2;311;caro
8;2;5;caro
9;2;14;caro
10;2;80;caro
11;3;294;barato
12;3;162;barato
13;3;85;barato
14;3;173;barato
15;3;171;barato
16;4;343;medio
17;4;337;medio
18;4;300;medio
19;4;122;medio
20;4;94;medio
21;5;82;caro
22;5;61;caro
23;5;385;caro
24;5;211;caro
25;5;64;caro
26;6;281;medio
27;6;196;medio
28;6;93;medio
29;6;35;medio
30;6;185;medio
31;7;78;medio
32;7;97;medio
33;7;344;medio
34;7;360;medio
35;7;205;medio
36;8;251;medio
37;8;293;medio
38;8;180;medio
39;8;93;medio
40;8;95;medio
41;9;351;caro
42;9;225;caro
43;9;269;caro
44;9;342;caro
45;9;378;caro
46;10;5;caro
47;10;311;caro
48;10;64;caro
49;10;30;caro
50;10;367;caro
51;11;168;medio
52;11;77;medio
53;11;391;medio
54;11;381;medio
55;11;375;medio
56;12;380;caro
57;12;14;caro
58;12;64;caro
59;12;39;caro
60;12;149;caro
61;13;316;medio
62;13;60;medio
63;13;24;medio
64;13;344;medio
65;13;184;medio
66;14;216;medio
67;14;334;medio
68;14;400;medio
69;14;52;medio
70;14;330;medio
71;15;164;barato
72;15;179;barato
73;15;250;barato
74;15;267;barato
75;15;112;barato
76;16;172;medio
77;16;78;medio
78;16;340;medio
79;16;398;medio
80;16;194;medio
81;17;370;caro
82;17;118;caro
83;17;30;caro
84;17;271;caro
85;17;225;caro
86;18;32;barato
87;18;357;barato
88;18;227;barato
89;18;254;barato
90;18;63;barato
91;19;324;medio
92;19;345;medio
93;19;400;medio
94;19;292;medio
95;19;389;medio
96;20;378;caro
97;20;301;caro
98;20;214;caro
99;20;45;caro
100;20;390;caro
101;21;293;medio
102;21;101;medio
103;21;308;medio
104;21;345;medio
105;21;307;medio
106;22;1;medio
107;22;71;medio
108;22;70;medio
109;22;94;medio
110;22;282;medio
111;23;370;caro
112;23;37;caro
113;23;265;caro
114;23;303;caro
115;23;61;caro
116;24;367;caro
117;24;61;caro
118;24;209;caro
119;24;113;caro
120;24;54;caro
121;25;79;barato
122;25;368;barato
123;25;43;barato
124;25;387;barato
125;25;291;barato
